"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Rourkela","BP-RRK-2021-11-24-000168","BPA2","2021-11-24","2021-12-06","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-24-000518","BPA1","2022-01-24",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2021-12-03-000173","BPA1","2021-12-03","2021-12-18","REJECTED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-28-000561","BPA1","2022-01-28","2022-01-28","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-15-000363","BPA1","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2021-11-20-000165","BPA1","2021-11-20","2021-11-20","APPROVED","BP/BAM/000014","2021-12-07"
"Berhampurdevelopmentauthority","BP-BED-2022-01-17-000403","BPA1","2022-01-17",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-12-02-000172","BPA1","2021-12-02","2021-12-02","APPROVED","BP/RRK/000023","2021-12-21"
"Sambalpur","BP-SMB-2022-01-28-000559","BPA1","2022-01-28",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-26-000543","BPA1","2022-01-26","2022-01-26","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2021-12-28-000221","BPA2","2021-12-28",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-06-000692","BPA1","2022-02-06","2022-02-06","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-29-000227","BPA1","2021-12-29",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-09-000188","BPA1","2021-12-09","2021-12-15","APPROVED","BP/RRK/000025","2022-01-06"
"Bhubaneswar","BP-BMC-2022-02-03-000674","BPA1","2022-02-03",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2021-11-16-000156","BPA1","2021-11-16","2021-12-02","APPROVED","BP/RRK/000018","2021-12-14"
"Rourkela","BP-RRK-2021-11-17-000161","BPA1","2021-11-17","2021-12-02","APPROVED","BP/RRK/000019","2021-12-15"
"Rourkela","BP-RRK-2021-11-15-000151","BPA1","2021-11-15","2021-12-02","APPROVED","BP/RRK/000020","2021-12-15"
"Bhubaneswar","BP-BMC-2022-02-04-000688","BPA1","2022-02-04","2022-02-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-24-000535","BPA1","2022-01-24",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-20-000456","BPA2","2022-01-20",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-20-000463","BPA1","2022-01-20",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-31-000237","BPA2","2021-12-31",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-31-000606","BPA1","2022-01-31",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-09-000767","BPA1","2022-02-09",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-03-000244","BPA2","2022-01-03",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-01-000625","BPA2","2022-02-01",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2022-01-18-000426","BPA1","2022-01-18",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000833","BPA1","2022-02-12","2022-02-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-28-000564","BPA1","2022-01-28","2022-01-29","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-09-000766","BPA2","2022-02-09",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2021-11-20-000164","BPA1","2021-11-20","2021-11-20","APPROVED","BP/BAM/000037","2022-02-07"
"Bhubaneswar","BP-BMC-2022-02-12-000835","BPA1","2022-02-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-14-000355","BPA1","2022-01-14",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-09-000189","BPA1","2021-12-09","2021-12-15","APPROVED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-09-000759","BPA1","2022-02-09",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-20-000469","BPA1","2022-01-20",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Cuttack","BP-CTC-2021-12-27-000214","BPA2","2021-12-27",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-07-000717","BPA1","2022-02-07","2022-02-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-13-000345","BPA1","2022-01-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-03-000248","BPA1","2022-01-03",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2022-01-14-000353","BPA1","2022-01-14",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-11-16-000159","BPA1","2021-11-16","2021-11-24","APPROVED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-11-000811","BPA1","2022-02-11",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-06-000693","BPA1","2022-02-06",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-15-000359","BPA1","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-15-000372","BPA2","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-09-000295","BPA1","2022-01-09",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-10-000318","BPA1","2022-01-10",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-10-000296","BPA1","2022-01-10",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-01-17-000400","BPA1","2022-01-17",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-17-000399","BPA1","2022-01-17",NULL,"PENDING_APPL_FEE",NULL,NULL
"Berhampur","BP-BAM-2022-01-08-000284","BPA1","2022-01-08","2022-01-08","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Sambalpur","BP-SMB-2022-01-18-000424","BPA1","2022-01-18",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-12-03-000175","BPA1","2021-12-03","2022-01-06","APPROVED","BP/RRK/000028","2022-01-20"
"Rourkela","BP-RRK-2022-01-09-000294","BPA1","2022-01-09","2022-01-24","APPROVED","BP/RRK/000038","2022-02-07"
"Bhubaneswar","BP-BMC-2022-02-08-000747","BPA1","2022-02-08","2022-02-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-01-08-000288","BPA1","2022-01-08","2022-01-08","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-08-000744","BPA1","2022-02-08","2022-02-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-02-02-000644","BPA2","2022-02-02","2022-02-02","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-01-000626","BPA2","2022-02-01","2022-02-01","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-24-000529","BPA1","2022-01-24","2022-02-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-04-000689","BPA2","2022-02-04","2022-02-07","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-31-000236","BPA1","2021-12-31","2021-12-31","APPROVED","BP/RRK/000035","2022-02-02"
"Bhubaneswar","BP-BMC-2022-01-24-000532","BPA1","2022-01-24","2022-01-24","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000826","BPA1","2022-02-12","2022-02-13","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-21-000474","BPA2","2022-01-21",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-02-000655","BPA1","2022-02-02",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-27-000552","BPA2","2022-01-27",NULL,"INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-20-000459","BPA1","2022-01-20","2022-01-20","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-28-000572","BPA1","2022-01-28","2022-01-30","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-28-000563","BPA1","2022-01-28","2022-01-31","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-03-000242","BPA1","2022-01-03","2022-01-06","APPROVED","BP/RRK/000033","2022-02-02"
"Bhubaneswar","BP-BMC-2022-01-21-000489","BPA1","2022-01-21","2022-02-09","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-08-000727","BPA2","2022-02-08","2022-02-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-04-000678","BPA1","2022-02-04","2022-02-05","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-01-28-000562","BPA1","2022-01-28","2022-01-28","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-10-000789","BPA1","2022-02-10",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-24-000523","BPA2","2022-01-24",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-25-000538","BPA2","2022-01-25",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Udala","BP-UDL-2022-01-22-000513","BPA1","2022-01-22","2022-01-25","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-06-000694","BPA1","2022-02-06",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2022-01-22-000510","BPA1","2022-01-22","2022-01-22","APPROVED","BP/RRK/000031","2022-02-01"
"Rourkela","BP-RRK-2022-01-09-000293","BPA1","2022-01-09","2022-01-09","APPROVED","BP/RRK/000029","2022-01-27"
"Sambalpurdevelopmentauthority","BP-SDA-2022-02-09-000769","BPA1","2022-02-09",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-01-000620","BPA2","2022-02-01",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-07-000700","BPA1","2022-02-07","2022-02-07","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-24-000536","BPA2","2022-01-24","2022-01-27","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-04-000680","BPA1","2022-02-04","2022-02-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-02-000653","BPA1","2022-02-02","2022-02-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-01-15-000366","BPA1","2022-01-15","2022-01-18","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-29-000579","BPA1","2022-01-29","2022-02-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-11-000805","BPA1","2022-02-11",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-31-000598","BPA1","2022-01-31","2022-02-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-01-08-000290","BPA1","2022-01-08","2022-01-08","APPROVED","BP/BAM/000032","2022-02-01"
"Berhampur","BP-BAM-2022-02-08-000742","BPA1","2022-02-08",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-29-000575","BPA1","2022-01-29",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-29-000578","BPA1","2022-01-29",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2022-01-29-000583","BPA2","2022-01-29",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2022-02-08-000751","BPA1","2022-02-08",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-13-000337","BPA1","2022-01-13","2022-02-12","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-29-000586","BPA1","2022-01-29","2022-02-01","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-29-000584","BPA1","2022-01-29",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-07-000703","BPA1","2022-02-07","2022-02-07","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-15-000197","BPA1","2021-12-15",NULL,"APPROVED","BP/RRK/000034","2022-02-02"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-26-000545","BPA1","2022-01-26","2022-02-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-29-000587","BPA1","2022-01-29",NULL,"PENDING_APPL_FEE",NULL,NULL
"Berhampur","BP-BAM-2022-01-08-000286","BPA1","2022-01-08","2022-01-08","APPROVED","BP/BAM/000030","2022-01-29"
"Berhampur","BP-BAM-2022-01-08-000291","BPA2","2022-01-08","2022-01-08","APPROVED","BP/BAM/000036","2022-02-03"
"Rourkela","BP-RRK-2022-02-02-000639","BPA2","2022-02-02","2022-02-02","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-01-01-000238","BPA1","2022-01-01","2022-01-02","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-08-000743","BPA2","2022-02-08","2022-02-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-21-000471","BPA1","2022-01-21","2022-01-21","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-04-000682","BPA1","2022-02-04",NULL,"PENDING_APPL_FEE",NULL,NULL
"Berhampur","BP-BAM-2021-12-10-000193","BPA1","2021-12-10","2021-12-11","APPROVAL_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-02-07-000722","BPA1","2022-02-07","2022-02-12","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-08-000745","BPA2","2022-02-08","2022-02-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-08-000740","BPA1","2022-02-08","2022-02-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-02-05-000691","BPA1","2022-02-05",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-02-02-000645","BPA2","2022-02-02","2022-02-02","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",NULL,NULL
"Rourkela","BP-RRK-2021-11-12-000150","BPA2","2021-11-12","2021-11-16","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Berhampur","BP-BAM-2022-02-11-000821","BPA1","2022-02-11","2022-02-11","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-12-000829","BPA1","2022-02-12",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-01-08-000292","BPA1","2022-01-08","2022-02-01","APPROVED","BP/RRK/000039","2022-02-09"
"Rourkela","BP-RRK-2021-12-21-000203","BPA1","2021-12-21","2021-12-21","APPROVED","BP/RRK/000040","2022-02-09"
"Rourkela","BP-RRK-2022-02-02-000640","BPA1","2022-02-02","2022-02-02","APPROVED","BP/RRK/000041","2022-02-10"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-12-000830","BPA1","2022-02-12",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2022-01-19-000440","BPA1","2022-01-19","2022-01-19","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-11-000802","BPA1","2022-02-11","2022-02-11","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-09-000770","BPA1","2022-02-09","2022-02-09","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Berhampur","BP-BAM-2022-01-14-000352","BPA1","2022-01-14","2022-01-14","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000836","BPA1","2022-02-12","2022-02-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-08-000753","BPA1","2022-02-08",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000831","BPA1","2022-02-12","2022-02-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-01-18-000411","BPA1","2022-01-18","2022-01-18","APPROVED","BP/SMB/000042","2022-02-12"
"Bhubaneswar","BP-BMC-2022-02-11-000804","BPA2","2022-02-11","2022-02-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-10-000781","BPA1","2022-02-10",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2022-02-07-000724","BPA1","2022-02-07","2022-02-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-01-22-000508","BPA1","2022-01-22","2022-01-22","REJECTED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-12-000837","BPA1","2022-02-12",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2022-01-08-000287","BPA1","2022-01-08","2022-01-08","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-03-000676","BPA1","2022-02-03","2022-02-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000832","BPA2","2022-02-12","2022-02-14","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-26-000544","BPA2","2022-01-26","2022-02-12","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Sambalpur","BP-SMB-2022-02-11-000799","BPA1","2022-02-11","2022-02-11","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-22-000512","BPA1","2022-01-22","2022-01-24","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-09-000768","BPA1","2022-02-09","2022-02-11","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Berhampur","BP-BAM-2022-02-12-000827","BPA1","2022-02-12","2022-02-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-07-000707","BPA2","2022-02-07","2022-02-07","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-03-000666","BPA1","2022-02-03","2022-02-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-02-02-000647","BPA1","2022-02-02","2022-02-02","APPROVED","BP/RRK/000046","2022-02-16"
"Cuttack","BP-CTC-2021-12-31-000235","BPA1","2021-12-31","2022-01-28","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-02-12-000834","BPA1","2022-02-12","2022-02-12","APPROVAL_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-31-000610","BPA1","2022-01-31","2022-02-04","APPROVED","BP/RRK/000047","2022-02-17"
