"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Bhubaneswar","BP-BMC-2022-01-29-000587","BPA1","2022-01-29",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-07-000703","BPA1","2022-02-07",NULL,"PENDING_APPL_FEE",NULL,NULL
"Berhampur","BP-BAM-2022-01-08-000286","BPA1","2022-01-08","2022-01-08","APPROVED","BP/BAM/000030","2022-01-29"
"Bhubaneswar","BP-BMC-2022-01-29-000585","BPA1","2022-01-29",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2022-01-08-000291","BPA2","2022-01-08","2022-01-08","APPROVED","BP/BAM/000036","2022-02-03"
"Berhampurdevelopmentauthority","BP-BED-2022-01-22-000508","BPA1","2022-01-22","2022-01-22","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-24-000526","BPA1","2022-01-24","2022-01-24","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-04-000682","BPA1","2022-02-04",NULL,"PENDING_APPL_FEE",NULL,NULL
"Berhampur","BP-BAM-2021-12-10-000193","BPA1","2021-12-10","2021-12-11","APPROVAL_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-08-000292","BPA1","2022-01-08","2022-02-01","APPROVAL_INPROGRESS",NULL,NULL
