"ulb","ward","assessmentnumber","assessmentdate","createdtime","financialyear","status"
"Cuttack","01","PT-AS-CTC-2021-11-16-568365","2021-11-16","2021-11-16","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-16-568366","2021-11-16","2021-11-16","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-16-568367","2021-11-16","2021-11-16","2021-22","ACTIVE"
"Kodala","01","PT-AS-KDL-2021-11-16-568368","2021-11-16","2021-11-16","2021-22","ACTIVE"
"Kodala","01","PT-AS-KDL-2021-11-16-568369","2021-11-16","2021-11-16","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-16-568370","2021-11-16","2021-11-16","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568371","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568372","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568373","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568374","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568375","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568376","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568377","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568378","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568379","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568380","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568381","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568382","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568383","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568384","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568385","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568386","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-17-568387","2021-11-17","2021-11-17","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-18-568388","2021-11-18","2021-11-18","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-18-568389","2021-11-18","2021-11-18","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-18-568390","2021-11-18","2021-11-18","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-18-568391","2021-11-18","2021-11-18","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-18-568392","2021-11-18","2021-11-18","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-18-568393","2021-11-18","2021-11-18","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-18-568394","2021-11-18","2021-11-18","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-18-568395","2021-11-18","2021-11-18","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-18-568396","2021-11-18","2021-11-18","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-18-568397","2021-11-18","2021-11-18","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-18-568398","2021-11-18","2021-11-18","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568399","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568400","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568401","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568402","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568403","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568404","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568405","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568406","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568407","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568408","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568409","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568410","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568411","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568412","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568413","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568414","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568415","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568416","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568417","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568418","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568419","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568420","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568421","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568422","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568423","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568424","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568425","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568426","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568427","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568428","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568429","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568430","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568431","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","13","PT-AS-KDL-2021-11-20-568432","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","13","PT-AS-KDL-2021-11-20-568432","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568433","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568434","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568435","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568436","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","02","PT-AS-KDL-2021-11-20-568437","2021-11-20","2021-11-20","2021-22","ACTIVE"
"Kodala","01","PT-AS-KDL-2021-11-22-568438","2021-11-22","2021-11-22","2021-22","ACTIVE"
"Kodala","01","PT-AS-KDL-2021-11-22-568439","2021-11-22","2021-11-22","2021-22","ACTIVE"
"Chatrapur","02","PT-AS-CHH-2021-11-22-568440","2021-11-22","2021-11-22","2021-22","ACTIVE"
"Pattamundai","17","PT-AS-PTM-2021-11-24-568441","2021-11-24","2021-11-24","2021-22","ACTIVE"
"Gudari","10","PT-AS-GDR-2021-11-24-568442","2021-11-24","2021-11-24","2021-22","ACTIVE"
"Gudari",NULL,"PT-AS-GDR-2021-11-24-568442","2021-11-24","2021-11-24","2021-22","ACTIVE"
"Athmallik","10","PT-AS-ATM-2021-11-24-568443","2021-11-24","2021-11-24","2021-22","ACTIVE"
"Athmallik","10","PT-AS-ATM-2021-11-24-568444","2021-11-24","2021-11-24","2021-22","ACTIVE"
"Kodala","07","PT-AS-KDL-2021-11-25-568445","2021-11-25","2021-11-25","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-25-568446","2021-11-25","2021-11-25","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-25-568447","2021-11-25","2021-11-25","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-25-568448","2021-11-25","2021-11-25","2021-22","ACTIVE"
"Kodala","12","PT-AS-KDL-2021-11-25-568449","2021-11-25","2021-11-25","2021-22","ACTIVE"
"Banpur",NULL,"PT-AS-BNP-2021-11-26-568450","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur",NULL,"PT-AS-BNP-2021-11-26-568452","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568453","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur",NULL,"PT-AS-BNP-2021-11-26-568456","2014-04-08","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568451","2014-04-08","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568457","2019-03-13","2021-11-26","2018-19","ACTIVE"
"Banpur",NULL,"PT-AS-BNP-2021-11-26-568454","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568455","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568459","2014-04-08","2021-11-26","2014-15","ACTIVE"
"Banpur",NULL,"PT-AS-BNP-2021-11-26-568458","2014-04-07","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568460","2014-04-07","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568461","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur","08","PT-AS-BNP-2021-11-26-568464","2014-04-21","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568462","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur",NULL,"PT-AS-BNP-2021-11-26-568465","2014-04-08","2021-11-26","2014-15","ACTIVE"
"Banpur",NULL,"PT-AS-BNP-2021-11-26-568463","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur",NULL,"PT-AS-BNP-2021-11-26-568468","2014-04-05","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568466","2014-04-08","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568467","2014-04-08","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568470","2014-04-26","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568469","2014-04-07","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568471","2014-04-08","2021-11-26","2014-15","ACTIVE"
"Banpur",NULL,"PT-AS-BNP-2021-11-26-568473","2019-03-26","2021-11-26","2018-19","ACTIVE"
"Banpur","09","PT-AS-BNP-2021-11-26-568472","2014-04-24","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568474","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568475","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur",NULL,"PT-AS-BNP-2021-11-26-568477","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur",NULL,"PT-AS-BNP-2021-11-26-568476","2014-04-10","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568478","2014-04-07","2021-11-26","2014-15","ACTIVE"
"Banpur","09","PT-AS-BNP-2021-11-26-568479","2019-03-27","2021-11-26","2018-19","ACTIVE"
"Banpur",NULL,"PT-AS-BNP-2021-11-26-568480","2019-03-26","2021-11-26","2018-19","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568481","2014-04-08","2021-11-26","2014-15","ACTIVE"
"Banpur","09","PT-AS-BNP-2021-11-26-568482","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568483","2014-04-07","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568484","2014-04-07","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568485","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568486","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568487","2014-04-26","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568488","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568489","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568490","2014-04-04","2021-11-26","2014-15","ACTIVE"
"Banpur","15","PT-AS-BNP-2021-11-26-568491","2019-03-11","2021-11-26","2018-19","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568492","2014-04-25","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568493","2014-04-06","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568494","2019-03-07","2021-11-26","2018-19","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568495","2014-04-07","2021-11-26","2014-15","ACTIVE"
"Banpur","15","PT-AS-BNP-2021-11-26-568496","2014-04-12","2021-11-26","2014-15","ACTIVE"
"Banpur","01","PT-AS-BNP-2021-11-26-568497","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur","14","PT-AS-BNP-2021-11-26-568498","2014-04-11","2021-11-26","2014-15","ACTIVE"
"Banpur","15","PT-AS-BNP-2021-11-26-568500","2019-03-11","2021-11-26","2018-19","ACTIVE"
"Banpur","01","PT-AS-BNP-2021-11-26-568501","2014-04-10","2021-11-26","2014-15","ACTIVE"
"Banpur","15","PT-AS-BNP-2021-11-26-568499","2019-03-12","2021-11-26","2018-19","ACTIVE"
"Banpur","01","PT-AS-BNP-2021-11-26-568502","2014-04-10","2021-11-26","2014-15","ACTIVE"
"Banpur","15","PT-AS-BNP-2021-11-26-568503","2014-04-13","2021-11-26","2014-15","ACTIVE"
"Banpur","15","PT-AS-BNP-2021-11-26-568504","2014-04-16","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568505","2014-04-06","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568508","2014-04-08","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568506","2014-04-06","2021-11-26","2014-15","ACTIVE"
"Banpur","15","PT-AS-BNP-2021-11-26-568509","2014-04-12","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568507","2014-04-06","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568511","2014-04-07","2021-11-26","2014-15","ACTIVE"
"Banpur","15","PT-AS-BNP-2021-11-26-568510","2019-03-12","2021-11-26","2018-19","ACTIVE"
"Banpur","14","PT-AS-BNP-2021-11-26-568512","2014-04-11","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568513","2014-04-26","2021-11-26","2014-15","ACTIVE"
"Banpur","08","PT-AS-BNP-2021-11-26-568515","2014-04-10","2021-11-26","2014-15","ACTIVE"
"Banpur","08","PT-AS-BNP-2021-11-26-568514","2014-04-24","2021-11-26","2014-15","ACTIVE"
"Banpur","01","PT-AS-BNP-2021-11-26-568517","2019-03-12","2021-11-26","2018-19","ACTIVE"
"Banpur","01","PT-AS-BNP-2021-11-26-568518","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur","08","PT-AS-BNP-2021-11-26-568516","2014-04-11","2021-11-26","2014-15","ACTIVE"
"Banpur","01","PT-AS-BNP-2021-11-26-568519","2014-04-13","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568521","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568522","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","01","PT-AS-BNP-2021-11-26-568520","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568524","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568523","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568525","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568527","2014-04-06","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568526","2014-04-08","2021-11-26","2014-15","ACTIVE"
"Banpur","01","PT-AS-BNP-2021-11-26-568528","2014-04-17","2021-11-26","2014-15","ACTIVE"
"Banpur","13","PT-AS-BNP-2021-11-26-568529","2019-03-14","2021-11-26","2018-19","ACTIVE"
"Banpur","15","PT-AS-BNP-2021-11-26-568530","2014-04-13","2021-11-26","2014-15","ACTIVE"
"Banpur","15","PT-AS-BNP-2021-11-26-568531","2014-04-14","2021-11-26","2014-15","ACTIVE"
"Banpur","15","PT-AS-BNP-2021-11-26-568532","2014-04-16","2021-11-26","2014-15","ACTIVE"
"Banpur","15","PT-AS-BNP-2021-11-26-568533","2014-04-15","2021-11-26","2014-15","ACTIVE"
"Banpur","01","PT-AS-BNP-2021-11-26-568534","2014-04-12","2021-11-26","2014-15","ACTIVE"
"Banpur","01","PT-AS-BNP-2021-11-26-568535","2014-04-10","2021-11-26","2014-15","ACTIVE"
"Banpur","14","PT-AS-BNP-2021-11-26-568537","2014-04-12","2021-11-26","2014-15","ACTIVE"
"Banpur","01","PT-AS-BNP-2021-11-26-568536","2014-04-14","2021-11-26","2014-15","ACTIVE"
"Banpur","14","PT-AS-BNP-2021-11-26-568538","2014-04-11","2021-11-26","2014-15","ACTIVE"
"Banpur","08","PT-AS-BNP-2021-11-26-568539","2014-04-24","2021-11-26","2014-15","ACTIVE"
"Banpur","08","PT-AS-BNP-2021-11-26-568540","2014-04-09","2021-11-26","2014-15","ACTIVE"
"Banpur","08","PT-AS-BNP-2021-11-26-568541","2014-04-21","2021-11-26","2014-15","ACTIVE"
"Banpur","08","PT-AS-BNP-2021-11-26-568542","2014-04-09","2021-11-26","2014-15","ACTIVE"
"Banpur","08","PT-AS-BNP-2021-11-26-568543","2014-04-10","2021-11-26","2014-15","ACTIVE"
"Banpur","08","PT-AS-BNP-2021-11-26-568544","2014-04-10","2021-11-26","2014-15","ACTIVE"
"Banpur","08","PT-AS-BNP-2021-11-26-568545","2014-04-09","2021-11-26","2014-15","ACTIVE"
"Banpur","08","PT-AS-BNP-2021-11-26-568546","2014-04-21","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568547","2014-04-04","2021-11-26","2014-15","ACTIVE"
"Banpur","15","PT-AS-BNP-2021-11-26-568548","2014-04-16","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568549","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568550","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","15","PT-AS-BNP-2021-11-26-568551","2014-04-13","2021-11-26","2014-15","ACTIVE"
"Banpur","09","PT-AS-BNP-2021-11-26-568552","2014-04-29","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568553","2014-04-07","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568554","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568555","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568556","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568557","2014-04-05","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568558","2019-03-26","2021-11-26","2018-19","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568559","2014-04-05","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568560","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568561","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568562","2014-04-26","2021-11-26","2014-15","ACTIVE"
"Banpur","08","PT-AS-BNP-2021-11-26-568563","2014-04-21","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568564","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","09","PT-AS-BNP-2021-11-26-568565","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568566","2014-04-07","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568567","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568568","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568569","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568570","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568571","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568572","2019-03-27","2021-11-26","2018-19","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568573","2014-04-26","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568574","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568575","2014-04-25","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568576","2014-04-04","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568577","2014-04-04","2021-11-26","2014-15","ACTIVE"
"Banpur","09","PT-AS-BNP-2021-11-26-568578","2019-03-27","2021-11-26","2018-19","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568579","2014-04-04","2021-11-26","2014-15","ACTIVE"
"Banpur","09","PT-AS-BNP-2021-11-26-568580","2019-03-27","2021-11-26","2018-19","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568581","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568582","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568583","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568584","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568585","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568586","2014-04-26","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568587","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568588","2014-04-26","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568589","2014-04-26","2021-11-26","2014-15","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568590","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568591","2019-03-08","2021-11-26","2018-19","ACTIVE"
"Banpur","11","PT-AS-BNP-2021-11-26-568592","2014-04-28","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568593","2014-04-02","2021-11-26","2014-15","ACTIVE"
"Banpur","10","PT-AS-BNP-2021-11-26-568594","2014-04-07","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568595","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568596","2014-04-01","2021-11-26","2014-15","ACTIVE"
"Banpur","12","PT-AS-BNP-2021-11-26-568597","2014-04-01","2021-11-26","2014-15","ACTIVE"
