"tenant_id","gateway","txn_status","txn_status_msg","txn_amount","gateway_txn_id","gateway_status_code","gateway_status_msg","gateway_payment_mode","consumer_code","module","txn_initiate_time","txn_last_updated_time"
"od.sambalpur","CCAVENUE","FAILURE","Transaction failed at gateway","6179.00","NA","NA",NULL,"NA","BP-SMB-2021-08-15-000074","BPA.NC_APP_FEE","2021-08-21 17:44:38+05:30","2022-02-01 05:30:05+05:30"
"od.sambalpur","CCAVENUE","SUCCESS","Transaction successful","6179.00","110266097898","Successful",NULL,"OPTNBK","BP-SMB-2021-08-15-000074","BPA.NC_APP_FEE","2021-08-30 22:23:19+05:30","2021-08-30 22:24:39+05:30"
"od.sambalpur","CCAVENUE","SUCCESS","Transaction successful","2523.00","110269602127","Successful",NULL,"OPTNBK","BP-SMB-2021-09-03-000075","BPA.NC_APP_FEE","2021-09-03 17:36:16+05:30","2021-09-03 17:39:27+05:30"
"od.sambalpur","CCAVENUE","FAILURE","Transaction failed at gateway","35161.00","110272980923","Initiated",NULL,"","BP-SMB-2021-09-03-000075","BPA.NC_SAN_FEE","2021-09-07 14:33:41+05:30","2021-09-07 15:00:01+05:30"
"od.sambalpur","CCAVENUE","SUCCESS","Transaction successful","35161.00","110273049297","Successful",NULL,"OPTUPI","BP-SMB-2021-09-03-000075","BPA.NC_SAN_FEE","2021-09-07 15:36:39+05:30","2021-09-07 15:38:51+05:30"
"od.brajrajnagar","CCAVENUE","FAILURE","Transaction failed at gateway","25000.00","110273129818","Awaited",NULL,"OPTNBK","TL-BJR-2021-09-07-000009","TL","2021-09-07 16:50:09+05:30","2021-09-07 17:15:00+05:30"
"od.gudari","CCAVENUE","FAILURE","Transaction failed at gateway","1000.00","110273158257","Initiated",NULL,"","TL-GDR-2021-09-07-000012","TL","2021-09-07 17:17:02+05:30","2021-09-07 17:45:00+05:30"
"od.angul","CCAVENUE","FAILURE","Transaction failed at gateway","10000.00","110273213360","Unsuccessful",NULL,"OPTUPI","TL-ANG-2021-09-07-000013","TL","2021-09-07 18:12:02+05:30","2021-09-07 18:15:15+05:30"
"od.rambha","CCAVENUE","FAILURE","Transaction failed at gateway","200.00","110273767703","Initiated",NULL,"","TL-RMB-2021-09-08-000016","TL","2021-09-08 11:42:51+05:30","2021-09-08 12:00:01+05:30"
"od.jaleswar","CCAVENUE","FAILURE","Transaction failed at gateway","500.00","110273893588","Initiated",NULL,"","TL-JLS-2021-09-08-000018","TL","2021-09-08 13:31:32+05:30","2021-09-08 14:00:00+05:30"
"od.berhampur","CCAVENUE","SUCCESS","Transaction successful","2000.00","111416133227","Successful",NULL,"OPTNBK","TL-BAM-2022-02-15-007856","TL","2022-02-15 14:01:57+05:30","2022-02-15 14:03:27+05:30"
"od.cuttack","CCAVENUE","FAILURE","Transaction failed at gateway","2000.00","NA","NA",NULL,"NA","TL-CTC-2021-08-24-000002","TL","2021-08-24 09:37:26+05:30","2022-02-01 05:30:05+05:30"
"od.sambalpur","CCAVENUE","FAILURE","Transaction failed at gateway","6179.00","NA","NA",NULL,"NA","BP-SMB-2021-08-15-000074","BPA.NC_APP_FEE","2021-08-25 17:35:34+05:30","2022-02-01 05:30:06+05:30"
"od.sambalpur","CCAVENUE","FAILURE","Transaction failed at gateway","6179.00","NA","NA",NULL,"NA","BP-SMB-2021-08-15-000074","BPA.NC_APP_FEE","2021-08-28 12:00:07+05:30","2022-02-01 05:30:06+05:30"
"od.jaleswar","CCAVENUE","FAILURE","Transaction failed at gateway","500.00","110273950331","Aborted",NULL,"","TL-JLS-2021-09-08-000018","TL","2021-09-08 14:27:42+05:30","2021-09-08 14:33:40+05:30"
"od.khallikote","CCAVENUE","FAILURE","Transaction failed at gateway","500.00","110274022476","Initiated",NULL,"","TL-KHL-2021-09-08-000019","TL","2021-09-08 15:41:45+05:30","2021-09-08 16:00:00+05:30"
"od.hinjilicut","CCAVENUE","FAILURE","Transaction failed at gateway","300.00","110274080313","Initiated",NULL,"","TL-HNL-2021-09-08-000020","TL","2021-09-08 16:39:37+05:30","2021-09-08 17:00:00+05:30"
"od.jajpur","CCAVENUE","FAILURE","Transaction failed at gateway","300.00","110276370630","Initiated",NULL,"","TL-JJP-2021-09-11-000021","TL","2021-09-11 09:42:36+05:30","2021-09-11 10:00:00+05:30"
"od.jajpur","CCAVENUE","SUCCESS","Transaction successful","300.00","110276391878","Successful",NULL,"OPTUPI","TL-JJP-2021-09-11-000021","TL","2021-09-11 10:04:54+05:30","2021-09-11 10:08:54+05:30"
"od.kendrapara","CCAVENUE","FAILURE","Transaction failed at gateway","400.00","110276607119","Aborted",NULL,"","TL-KND-2021-09-11-000022","TL","2021-09-11 13:18:07+05:30","2021-09-11 13:18:56+05:30"
"od.cuttack","CCAVENUE","FAILURE","Transaction failed at gateway","5000.00","110277760993","Aborted",NULL,"OPTUPI","TL-CTC-2021-09-12-000023","TL","2021-09-12 21:14:51+05:30","2021-09-12 21:17:25+05:30"
"od.cuttack","CCAVENUE","FAILURE","Transaction failed at gateway","2000.00","110277844709","Aborted",NULL,"","TL-CTC-2021-09-12-000028","TL","2021-09-13 00:22:14+05:30","2021-09-13 00:23:03+05:30"
"od.berhampur","CCAVENUE","FAILURE","Transaction failed at gateway","750.00","110278245397","Initiated",NULL,"","TL-BAM-2021-09-13-000029","TL","2021-09-13 13:10:56+05:30","2021-09-13 13:30:00+05:30"
"od.rourkela","CCAVENUE","SUCCESS","Transaction successful","337.00","110278474162","Successful",NULL,"OPTNBK","BP-RRK-2021-09-13-000076","BPA.NC_APP_FEE","2021-09-13 16:33:04+05:30","2021-09-13 16:35:55+05:30"
"od.rourkela","CCAVENUE","FAILURE","Transaction failed at gateway","250.00","110278523142","Auto-Reversed",NULL,"OPTUPI","BP-RRK-2021-09-13-000078","BPA.NC_APP_FEE","2021-09-13 17:19:18+05:30","2021-09-13 17:45:00+05:30"
"od.rourkela","CCAVENUE","SUCCESS","Transaction successful","250.00","110278615658","Successful",NULL,"OPTNBK","BP-RRK-2021-09-13-000078","BPA.NC_APP_FEE","2021-09-13 18:51:48+05:30","2021-09-13 18:58:10+05:30"
"od.cuttack","CCAVENUE","FAILURE","Transaction failed at gateway","3875.00","110315713744","Unsuccessful",NULL,"OPTNBK","PT-CTC-095513","PT","2021-10-24 01:09:18+05:30","2021-10-24 01:11:20+05:30"
"od.sambalpur","CCAVENUE","FAILURE","Transaction failed at gateway","67832.00","110281134536","Unsuccessful",NULL,"OPTNBK","BP-SMB-2021-08-15-000074","BPA.NC_SAN_FEE","2021-09-16 11:21:58+05:30","2021-09-16 11:29:07+05:30"
"od.sambalpur","CCAVENUE","FAILURE","Transaction failed at gateway","67832.00","110281145506","Aborted",NULL,"OPTUPI","BP-SMB-2021-08-15-000074","BPA.NC_SAN_FEE","2021-09-16 11:31:41+05:30","2021-09-16 11:34:29+05:30"
"od.sambalpur","CCAVENUE","FAILURE","Transaction failed at gateway","67832.00","110281149796","Unsuccessful",NULL,"OPTUPI","BP-SMB-2021-08-15-000074","BPA.NC_SAN_FEE","2021-09-16 11:35:11+05:30","2021-09-16 11:36:52+05:30"
"od.berhampur","CCAVENUE","FAILURE","Transaction failed at gateway","8596.00","110282686500","Initiated",NULL,"","WS/BAM/118526","WS","2021-09-18 00:40:17+05:30","2021-09-18 01:00:00+05:30"
"od.berhampur","CCAVENUE","FAILURE","Transaction failed at gateway","8596.00","110282055795","Aborted",NULL,"","WS/BAM/118526","WS","2021-09-17 12:04:37+05:30","2021-09-17 12:05:26+05:30"
"od.berhampur","CCAVENUE","FAILURE","Transaction failed at gateway","8596.00","110282171258","Initiated",NULL,"","WS/BAM/118526","WS","2021-09-17 13:47:19+05:30","2021-09-17 14:15:00+05:30"
"od.sambalpur","CCAVENUE","FAILURE","Transaction failed at gateway","67832.00","110282355108","Aborted",NULL,"","BP-SMB-2021-08-15-000074","BPA.NC_SAN_FEE","2021-09-17 16:54:43+05:30","2021-09-17 17:15:03+05:30"
"od.junagarh","CCAVENUE","FAILURE","Transaction failed at gateway","500.00","110282948737","Awaited",NULL,"OPTNBK","TL-JNG-2021-09-15-000032","TL","2021-09-18 11:46:41+05:30","2021-09-18 12:15:00+05:30"
"od.junagarh","CCAVENUE","SUCCESS","Transaction successful","500.00","110282988939","Successful",NULL,"OPTUPI","TL-JNG-2021-09-15-000032","TL","2021-09-18 12:19:54+05:30","2021-09-18 12:20:58+05:30"
"od.sambalpur","CCAVENUE","FAILURE","Transaction failed at gateway","67832.00","110283030005","Initiated",NULL,"","BP-SMB-2021-08-15-000074","BPA.NC_SAN_FEE","2021-09-18 12:54:54+05:30","2021-09-18 13:15:04+05:30"
"od.tarbha","CCAVENUE","FAILURE","Transaction failed at gateway","300.00","110283050349","Initiated",NULL,"","TL-TRB-2021-09-18-000038","TL","2021-09-18 13:11:52+05:30","2021-09-18 13:30:00+05:30"
"od.rourkela","CCAVENUE","FAILURE","Transaction failed at gateway","2789.00","110283106426","Awaited",NULL,"OPTNBK","BP-RRK-2021-09-13-000078","BPA.NC_SAN_FEE","2021-09-18 14:01:38+05:30","2021-09-18 14:30:00+05:30"
"od.sambalpur","CCAVENUE","FAILURE","Transaction failed at gateway","67832.00","510000115452","Auto-Reversed",NULL,"OPTNBK","BP-SMB-2021-08-15-000074","BPA.NC_SAN_FEE","2021-09-16 12:29:04+05:30","2022-01-25 05:30:01+05:30"
"od.rourkela","CCAVENUE","SUCCESS","Transaction successful","2789.00","110283142820","Successful",NULL,"OPTNBK","BP-RRK-2021-09-13-000078","BPA.NC_SAN_FEE","2021-09-18 14:37:10+05:30","2021-09-18 14:39:53+05:30"
"od.rourkela","CCAVENUE","FAILURE","Transaction failed at gateway","23507.00","110283190065","Awaited",NULL,"OPTNBK","BP-RRK-2021-09-13-000076","BPA.NC_SAN_FEE","2021-09-18 15:22:05+05:30","2021-09-18 15:45:02+05:30"
"od.sambalpur","CCAVENUE","FAILURE","Transaction failed at gateway","67832.00","110283249970","Aborted",NULL,"","BP-SMB-2021-08-15-000074","BPA.NC_SAN_FEE","2021-09-18 16:20:26+05:30","2021-09-18 16:21:00+05:30"
"od.rourkela","CCAVENUE","SUCCESS","Transaction successful","23507.00","110283231004","Shipped",NULL,"OPTNBK","BP-RRK-2021-09-13-000076","BPA.NC_SAN_FEE","2021-09-18 16:00:59+05:30","2021-09-18 16:30:00+05:30"
"od.cuttack","CCAVENUE","FAILURE","Transaction failed at gateway","1000.00","110283435826","Unsuccessful",NULL,"OPTUPI","TL-CTC-2021-09-18-000044","TL","2021-09-18 19:42:41+05:30","2021-09-18 19:45:39+05:30"
"od.soro","CCAVENUE","FAILURE","Transaction failed at gateway","5000.00","110284211985","Awaited",NULL,"OPTNBK","TL-SOR-2021-09-19-000047","TL","2021-09-19 18:40:47+05:30","2021-09-19 19:00:00+05:30"
"od.cuttack","CCAVENUE","FAILURE","Transaction failed at gateway","1000.00","110284450721","Auto-Reversed",NULL,"OPTNBK","TL-CTC-2021-09-20-000048","TL","2021-09-20 00:40:49+05:30","2021-09-20 00:51:40+05:30"
"od.kantabanji","CCAVENUE","SUCCESS","Transaction successful","1000.00","110284541222","Successful",NULL,"OPTNBK","TL-KNB-2021-09-20-000049","TL","2021-09-20 08:57:17+05:30","2021-09-20 08:59:38+05:30"
"od.sambalpur","CCAVENUE","FAILURE","Transaction failed at gateway","5000.00","110284913154","Initiated",NULL,"","TL-SMB-2021-09-20-000053","TL","2021-09-20 14:25:07+05:30","2021-09-20 14:45:00+05:30"
"od.cuttack","CCAVENUE","FAILURE","Transaction failed at gateway","5000.00","110285010512","Initiated",NULL,"","TL-CTC-2021-09-20-000059","TL","2021-09-20 15:55:19+05:30","2021-09-20 16:15:02+05:30"
"od.angul","CCAVENUE","SUCCESS","Transaction successful","1500.00","110285031444","Successful",NULL,"OPTNBK","TL-ANG-2021-09-20-000058","TL","2021-09-20 16:07:35+05:30","2021-09-20 16:16:18+05:30"
"od.berhampur","CCAVENUE","SUCCESS","Transaction successful","4000.00","110285118309","Successful",NULL,"OPTNBK","TL-BAM-2021-09-20-000060","TL","2021-09-20 17:31:53+05:30","2021-09-20 17:36:24+05:30"
"od.berhampur","CCAVENUE","SUCCESS","Transaction successful","1000.00","111416133751","Successful",NULL,"OPTUPI","TL-BAM-2022-02-15-007884","TL","2022-02-15 14:02:30+05:30","2022-02-15 14:03:47+05:30"
"od.puri","CCAVENUE","SUCCESS","Transaction successful","5000.00","110285151738","Successful",NULL,"OPTNBK","TL-PRI-2021-09-20-000061","TL","2021-09-20 18:02:38+05:30","2021-09-20 18:04:52+05:30"
"od.nayagarh","CCAVENUE","SUCCESS","Transaction successful","500.00","110285179624","Successful",NULL,"OPTNBK","TL-NGR-2021-09-20-000063","TL","2021-09-20 18:26:06+05:30","2021-09-20 18:29:36+05:30"
"od.sambalpur","CCAVENUE","SUCCESS","Transaction successful","5000.00","110285265119","Successful",NULL,"OPTNBK","TL-SMB-2021-09-20-000064","TL","2021-09-20 19:29:21+05:30","2021-09-20 19:30:42+05:30"
"od.sambalpur","CCAVENUE","FAILURE","Transaction failed at gateway","67832.00","110285580326","Unsuccessful",NULL,"OPTNBK","BP-SMB-2021-08-15-000074","BPA.NC_SAN_FEE","2021-09-21 09:11:44+05:30","2021-09-21 09:13:27+05:30"
"od.sambalpur","CCAVENUE","SUCCESS","Transaction successful","67832.00","110285582763","Successful",NULL,"OPTNBK","BP-SMB-2021-08-15-000074","BPA.NC_SAN_FEE","2021-09-21 09:13:59+05:30","2021-09-21 09:15:20+05:30"
"od.paradeep","CCAVENUE","FAILURE","Transaction failed at gateway","1000.00","110285679824","Initiated",NULL,"","TL-PDP-2021-09-20-000062","TL","2021-09-21 10:53:02+05:30","2021-09-21 11:15:02+05:30"
"od.paradeep","CCAVENUE","SUCCESS","Transaction successful","1000.00","110285707899","Successful",NULL,"OPTUPI","TL-PDP-2021-09-20-000062","TL","2021-09-21 11:17:57+05:30","2021-09-21 11:21:44+05:30"
"od.rourkela","CCAVENUE","FAILURE","Transaction failed at gateway","351.00","110285688942","Awaited",NULL,"OPTNBK","PT-RRK-388949","PT","2021-09-21 11:01:15+05:30","2021-09-21 11:30:04+05:30"
"od.cuttack","CCAVENUE","FAILURE","Transaction failed at gateway","1138.00","110285702274","Initiated",NULL,"","PT-CTC-268948","PT","2021-09-21 11:13:50+05:30","2021-09-21 11:30:04+05:30"
"od.cuttack","CCAVENUE","SUCCESS","Transaction successful","5000.00","110285728678","Successful",NULL,"OPTNBK","TL-CTC-2021-09-20-000059","TL","2021-09-21 11:34:49+05:30","2021-09-21 11:38:55+05:30"
"od.junagarh","CCAVENUE","FAILURE","Transaction failed at gateway","455.00","110285751622","Initiated",NULL,"","PT-JNG-403601","PT","2021-09-21 11:53:52+05:30","2021-09-21 12:15:02+05:30"
"od.karanjia","CCAVENUE","SUCCESS","Transaction successful","200.00","110285819181","Successful",NULL,"OPTNBK","TL-KRN-2021-09-21-000070","TL","2021-09-21 12:48:31+05:30","2021-09-21 12:49:46+05:30"
"od.berhampur","CCAVENUE","FAILURE","Transaction failed at gateway","6000.00","111426161687","Unsuccessful",NULL,"OPTUPI","TL-BAM-2022-02-25-009123","TL","2022-02-25 23:23:03+05:30","2022-02-25 23:45:00+05:30"
"od.cuttack","CCAVENUE","SUCCESS","Transaction successful","1000.00","110285886109","Successful",NULL,"OPTNBK","TL-CTC-2021-09-21-000071","TL","2021-09-21 13:47:00+05:30","2021-09-21 13:48:45+05:30"
"od.cuttack","CCAVENUE","SUCCESS","Transaction successful","2112.00","110285951593","Successful",NULL,"OPTNBK","PT-CTC-328974","PT","2021-09-21 14:47:34+05:30","2021-09-21 14:51:07+05:30"
"od.kendrapara","CCAVENUE","SUCCESS","Transaction successful","500.00","110286084919","Successful",NULL,"OPTNBK","TL-KND-2021-09-21-000076","TL","2021-09-21 16:51:30+05:30","2021-09-21 16:57:54+05:30"
"od.angul","CCAVENUE","SUCCESS","Transaction successful","1500.00","110286114477","Successful",NULL,"OPTNBK","TL-ANG-2021-09-21-000077","TL","2021-09-21 17:19:39+05:30","2021-09-21 17:21:21+05:30"
"od.rourkela","CCAVENUE","FAILURE","Transaction failed at gateway","22438.00","110293742845","Initiated",NULL,"","PT-RRK-368483","PT","2021-09-29 17:41:08+05:30","2021-09-29 18:00:00+05:30"
"od.rourkela","CCAVENUE","FAILURE","Transaction failed at gateway","351.00","110293768996","Initiated",NULL,"","PT-RRK-388949","PT","2021-09-29 18:04:41+05:30","2021-09-29 18:30:00+05:30"
"od.rourkela","CCAVENUE","SUCCESS","Transaction successful","6120.00","110295597074","Successful",NULL,"OPTUPI","PT-RRK-397832","PT","2021-10-01 11:29:14+05:30","2021-10-01 11:31:42+05:30"
"od.cuttack","CCAVENUE","FAILURE","Transaction failed at gateway","738.00","110295685416","Initiated",NULL,"","PT-CTC-265463","PT","2021-10-01 12:38:06+05:30","2021-10-01 13:00:00+05:30"
"od.cuttack","CCAVENUE","FAILURE","Transaction failed at gateway","1138.00","110297289654","Aborted",NULL,"","PT-CTC-268948","PT","2021-10-02 22:36:10+05:30","2021-10-02 22:39:50+05:30"
"od.cuttack","CCAVENUE","FAILURE","Transaction failed at gateway","615.00","110297292560","Aborted",NULL,"","PT-CTC-090522","PT","2021-10-02 22:41:15+05:30","2021-10-02 22:41:08+05:30"
"od.rourkela","CCAVENUE","FAILURE","Transaction failed at gateway","9096.00","110298106826","Unsuccessful",NULL,"OPTUPI","PT-RRK-402756","PT","2021-10-03 22:54:07+05:30","2021-10-03 22:56:46+05:30"
"od.rourkela","CCAVENUE","SUCCESS","Transaction successful","9096.00","110298109961","Successful",NULL,"OPTUPI","PT-RRK-402756","PT","2021-10-03 23:00:24+05:30","2021-10-03 23:01:48+05:30"
"od.jeypore","CCAVENUE","FAILURE","Transaction failed at gateway","60.00","110299633271","Initiated",NULL,"","PT-JPR-314769","PT","2021-10-05 13:25:50+05:30","2021-10-05 13:45:00+05:30"
"od.kantabanji","CCAVENUE","SUCCESS","Transaction successful","500.00","111416136222","Successful",NULL,"OPTUPI","TL-KNB-2022-02-15-007887","TL","2022-02-15 14:05:04+05:30","2022-02-15 14:05:59+05:30"
"od.rourkela","CCAVENUE","SUCCESS","Transaction successful","250.00","110300644817","Successful",NULL,"OPTUPI","BP-RRK-2021-09-21-000079","BPA.NC_APP_FEE","2021-10-06 12:56:04+05:30","2021-10-06 13:15:00+05:30"
"od.puri","CCAVENUE","SUCCESS","Transaction successful","980.00","110300828156","Successful",NULL,"OPTNBK","PT-PRI-477873","PT","2021-10-06 15:40:28+05:30","2021-10-06 15:42:57+05:30"
"od.rourkela","CCAVENUE","FAILURE","Transaction failed at gateway","100.00","110301235767","Initiated",NULL,"","PT-RRK-388949","PT","2021-10-06 22:35:20+05:30","2021-10-06 23:00:00+05:30"
"od.barbil","CCAVENUE","FAILURE","Transaction failed at gateway","100.00","110301238398","Initiated",NULL,"","PT-BBL-309811","PT","2021-10-06 22:39:26+05:30","2021-10-06 23:00:00+05:30"
"od.pattamundai","CCAVENUE","FAILURE","Transaction failed at gateway","300.00","110301466836","Aborted",NULL,"","PT-PTM-239406","PT","2021-10-07 10:30:03+05:30","2021-10-07 10:34:14+05:30"
"od.rourkela","CCAVENUE","FAILURE","Transaction failed at gateway","351.00","110301561360","Awaited",NULL,"OPTNBK","PT-RRK-388949","PT","2021-10-07 11:52:19+05:30","2021-10-07 12:15:00+05:30"
"od.cuttack","CCAVENUE","SUCCESS","Transaction successful","495.00","110301648296","Successful",NULL,"OPTNBK","PT-CTC-334584","PT","2021-10-07 13:03:03+05:30","2021-10-07 13:07:43+05:30"
"od.rourkela","CCAVENUE","FAILURE","Transaction failed at gateway","351.00","110302530376","Awaited",NULL,"OPTNBK","PT-RRK-388949","PT","2021-10-08 11:17:54+05:30","2021-10-08 11:45:00+05:30"
"od.cuttack","CCAVENUE","SUCCESS","Transaction successful","1107.00","110302856827","Successful",NULL,"OPTNBK","PT-CTC-279313","PT","2021-10-08 16:10:09+05:30","2021-10-08 16:13:24+05:30"
"od.binka","CCAVENUE","FAILURE","Transaction failed at gateway","600.00","110302946333","Initiated",NULL,"","TL-BNK-2021-10-08-000120","TL","2021-10-08 17:38:58+05:30","2021-10-08 18:00:01+05:30"
"od.cuttack","CCAVENUE","FAILURE","Transaction failed at gateway","2000.00","110303566975","Initiated",NULL,"","TL-CTC-2021-10-09-000123","TL","2021-10-09 12:41:46+05:30","2021-10-09 13:00:00+05:30"
"od.attabira","CCAVENUE","FAILURE","Transaction failed at gateway","2000.00","110304095676","Awaited",NULL,"OPTNBK","TL-ATB-2021-10-09-000126","TL","2021-10-09 22:55:30+05:30","2021-10-09 23:15:00+05:30"
"od.attabira","CCAVENUE","SUCCESS","Transaction successful","2000.00","110304107357","Successful",NULL,"OPTNBK","TL-ATB-2021-10-09-000126","TL","2021-10-09 23:20:30+05:30","2021-10-09 23:24:04+05:30"
"od.sambalpur","CCAVENUE","SUCCESS","Transaction successful","2000.00","110304333651","Successful",NULL,"OPTUPI","TL-SMB-2021-10-10-000128","TL","2021-10-10 11:41:07+05:30","2021-10-10 11:43:04+05:30"
"od.cuttack","CCAVENUE","FAILURE","Transaction failed at gateway","1025.00","110304790026","Awaited",NULL,"OPTNBK","PT-CTC-270411","PT","2021-10-10 21:47:50+05:30","2021-10-10 22:15:00+05:30"
"od.rourkela","CCAVENUE","FAILURE","Transaction failed at gateway","351.00","110305130910","Awaited",NULL,"OPTNBK","PT-RRK-388949","PT","2021-10-11 12:14:41+05:30","2021-10-11 12:30:00+05:30"
"od.puri","CCAVENUE","SUCCESS","Transaction successful","5000.00","110305218104","Successful",NULL,"OPTUPI","TL-PRI-2021-10-11-000132","TL","2021-10-11 13:31:22+05:30","2021-10-11 13:32:14+05:30"
"od.tarbha","CCAVENUE","SUCCESS","Transaction successful","300.00","110305388420","Successful",NULL,"OPTUPI","TL-TRB-2021-09-18-000039","TL","2021-10-11 16:21:13+05:30","2021-10-11 16:26:33+05:30"
"od.puri","CCAVENUE","SUCCESS","Transaction successful","1500.00","110305904234","Successful",NULL,"OPTUPI","TL-PRI-2021-09-18-000042","TL","2021-10-12 10:06:11+05:30","2021-10-12 10:09:10+05:30"
"od.jagatsinghpur","CCAVENUE","SUCCESS","Transaction successful","500.00","110306081963","Successful",NULL,"OPTNBK","TL-JGT-2021-10-12-000140","TL","2021-10-12 12:55:53+05:30","2021-10-12 12:58:28+05:30"
"od.athagarh","CCAVENUE","SUCCESS","Transaction successful","500.00","110306354846","Successful",NULL,"OPTNBK","TL-ATH-2021-10-12-000143","TL","2021-10-12 17:52:05+05:30","2021-10-12 18:15:00+05:30"
"od.cuttack","CCAVENUE","SUCCESS","Transaction successful","1000.00","110306458087","Successful",NULL,"OPTNBK","TL-CTC-2021-10-12-000144","TL","2021-10-12 19:57:44+05:30","2021-10-12 20:02:45+05:30"
"od.cuttack","CCAVENUE","FAILURE","Transaction failed at gateway","1825.00","110306595181","Initiated",NULL,"","PT-CTC-266137","PT","2021-10-12 23:37:21+05:30","2021-10-13 00:00:01+05:30"
"od.sonepur","CCAVENUE","SUCCESS","Transaction successful","2500.00","110306942493","Successful",NULL,"OPTNBK","TL-SBR-2021-10-13-000146","TL","2021-10-13 13:36:32+05:30","2021-10-13 13:39:28+05:30"
"od.chatrapur","CCAVENUE","SUCCESS","Transaction successful","500.00","110308025633","Successful",NULL,"OPTUPI","TL-CHH-2021-10-14-000154","TL","2021-10-14 19:39:30+05:30","2021-10-14 19:45:19+05:30"
"od.berhampur","CCAVENUE","SUCCESS","Transaction successful","1500.00","111416139291","Successful",NULL,"OPTUPI","TL-BAM-2022-02-15-007866","TL","2022-02-15 14:07:59+05:30","2022-02-15 14:09:28+05:30"
"od.jagatsinghpur","CCAVENUE","SUCCESS","Transaction successful","5000.00","110310131795","Successful",NULL,"OPTUPI","TL-JGT-2021-10-17-000175","TL","2021-10-17 18:31:15+05:30","2021-10-17 18:35:02+05:30"
"od.kendrapara","CCAVENUE","FAILURE","Transaction failed at gateway","5000.00","110310149809","Aborted",NULL,"OPTUPI","TL-KND-2021-10-17-000176","TL","2021-10-17 18:53:51+05:30","2021-10-17 18:55:45+05:30"
"od.gunupur","CCAVENUE","SUCCESS","Transaction successful","2000.00","110310654379","Successful",NULL,"OPTUPI","TL-GNP-2021-10-18-000196","TL","2021-10-18 13:05:50+05:30","2021-10-18 13:11:04+05:30"
"od.berhampur","CCAVENUE","FAILURE","Transaction failed at gateway","1000.00","110310644260","Initiated",NULL,"","TL-BAM-2021-10-18-000192","TL","2021-10-18 12:56:33+05:30","2021-10-18 13:15:00+05:30"
